File Name,Type,PSNR,SSIM
AkkeraKanjinchou_012,B/W,15.5206,0.8806
AkkeraKanjinchou_022,B/W,16.3365,0.8875
AkkeraKanjinchou_091_hybrid_color_B,B/W,18.4998,0.8054
AkkeraKanjinchou_074,B/W,15.2417,0.8804
AkkeraKanjinchou_035,B/W,16.4113,0.8869
AkkeraKanjinchou_026,B/W,18.4193,0.9249
AkkeraKanjinchou_017,B/W,15.8359,0.8816
AkkeraKanjinchou_031,B/W,15.1651,0.8731
AkkeraKanjinchou_000_hybrid_color_G,B/W,17.7227,0.7771
AkkeraKanjinchou_090,B/W,15.2389,0.8872
AkkeraKanjinchou_044,B/W,15.3707,0.8759
AkkeraKanjinchou_067,B/W,15.3984,0.8978
AkkeraKanjinchou_066,B/W,16.0697,0.8983
AkkeraKanjinchou_057,B/W,16.1057,0.9061
AkkeraKanjinchou_051,B/W,15.9153,0.8781
AkkeraKanjinchou_032,B/W,15.6410,0.8867
AkkeraKanjinchou_042,B/W,15.4229,0.8787
AkkeraKanjinchou_015,B/W,14.4112,0.8535
AkkeraKanjinchou_064,B/W,15.6181,0.8818
AkkeraKanjinchou_069,B/W,15.6451,0.8879
AkkeraKanjinchou_052,B/W,16.3828,0.8782
AkkeraKanjinchou_008,B/W,16.0180,0.8826
AkkeraKanjinchou_049,B/W,14.9100,0.8645
AkkeraKanjinchou_019,B/W,15.7739,0.8652
AkkeraKanjinchou_007,B/W,15.3456,0.8772
AkkeraKanjinchou_047,B/W,16.6855,0.8867
AkkeraKanjinchou_085,B/W,16.5770,0.8955
AkkeraKanjinchou_028,B/W,15.4281,0.8770
AkkeraKanjinchou_087,B/W,16.5232,0.8990
AkkeraKanjinchou_091_hybrid_bw,B/W,55.1695,0.9717
Saisoku_027,B/W,15.0366,0.8697
Saisoku_033,B/W,14.3112,0.8738
Saisoku_078,B/W,14.8648,0.8765
Saisoku_056,B/W,13.5150,0.8671
Saisoku_086,B/W,13.9305,0.8578
Saisoku_053,B/W,15.3996,0.8849
Saisoku_010,B/W,14.8535,0.8608
Saisoku_080,B/W,14.0828,0.8728
Saisoku_083,B/W,13.7231,0.8528
Saisoku_054,B/W,14.1088,0.8682
Saisoku_005,B/W,14.6669,0.8732
Saisoku_082,B/W,14.9696,0.8789
Saisoku_009,B/W,14.6619,0.8743
Saisoku_023,B/W,14.2052,0.8797
Saisoku_041,B/W,13.2200,0.8345
Saisoku_072,B/W,14.5362,0.8867
Saisoku_084,B/W,13.7610,0.8599
Saisoku_003,B/W,16.4144,0.9104
Saisoku_059,B/W,13.4864,0.8642
Saisoku_062,B/W,14.5137,0.8920
Saisoku_025,B/W,14.4999,0.8979
Saisoku_058,B/W,14.1221,0.8659
Saisoku_065,B/W,14.0511,0.8598
Saisoku_089,B/W,14.7411,0.8815
Saisoku_016,B/W,14.5196,0.8604
Saisoku_046,B/W,13.8005,0.8741
Saisoku_050,B/W,14.9222,0.9013
Saisoku_091,B/W,14.6576,0.8708
Saisoku_029,B/W,14.7590,0.8777
Saisoku_037,B/W,15.3411,0.8826
Saisoku_061,B/W,13.8679,0.8541
Saisoku_038,B/W,14.2255,0.8726
Saisoku_020,B/W,14.1033,0.8701
Saisoku_068,B/W,13.5130,0.8681
Saisoku_094,B/W,14.2775,0.8731
Saisoku_088,B/W,14.8489,0.8748
Saisoku_006,B/W,14.1896,0.8666
Saisoku_045,B/W,13.7913,0.8545
Saisoku_001,B/W,15.9470,0.8999
Saisoku_073,B/W,13.9490,0.8824
Saisoku_021,B/W,13.8646,0.8581
Saisoku_060,B/W,13.5476,0.8574
Saisoku_014,B/W,14.5800,0.8689
Saisoku_075,B/W,14.5466,0.8688
Saisoku_070,B/W,13.6895,0.8770
Saisoku_079,B/W,15.3692,0.8786
Saisoku_013,B/W,13.6797,0.8505
Saisoku_055,B/W,14.7107,0.8749
Saisoku_024,B/W,15.8054,0.8904
Saisoku_002,B/W,19.0676,0.9288
Saisoku_034,B/W,13.7046,0.8666
Saisoku_071,B/W,13.9130,0.8799
Saisoku_081,B/W,14.2544,0.8730
Saisoku_077,B/W,14.8810,0.8727
Saisoku_039,B/W,15.1172,0.8839
Saisoku_048,B/W,15.3945,0.8874
Saisoku_099_color_G,B/W,19.5644,0.9290
Saisoku_011,B/W,13.4180,0.8663
Saisoku_030,B/W,13.7568,0.8674
Saisoku_099_color_R,B/W,19.8367,0.9315
Saisoku_063,B/W,14.3856,0.8615
Saisoku_036,B/W,13.6728,0.8697
Saisoku_095,B/W,14.6233,0.8744
Saisoku_018,B/W,13.9960,0.8685
Saisoku_043,B/W,14.1762,0.8707
Saisoku_040,B/W,14.0285,0.8747
Saisoku_004,B/W,15.5346,0.8881
Saisoku_000_color_G,B/W,15.6010,0.8927
Saisoku_076,B/W,14.3779,0.8871
Saisoku_012,B/W,14.1606,0.8700
Saisoku_022,B/W,13.3966,0.8600
Saisoku_092,B/W,14.1676,0.8701
Saisoku_093,B/W,14.9524,0.8895
Saisoku_074,B/W,13.9622,0.8541
Saisoku_035,B/W,14.5850,0.8664
Saisoku_026,B/W,14.2169,0.8686
Saisoku_098,B/W,14.2738,0.8736
Saisoku_017,B/W,14.4403,0.8648
Saisoku_031,B/W,14.6277,0.8795
Saisoku_090,B/W,14.2199,0.8773
Saisoku_044,B/W,14.4873,0.8814
Saisoku_067,B/W,14.2899,0.8576
Saisoku_066,B/W,14.3262,0.8794
Saisoku_057,B/W,14.4533,0.8785
Saisoku_051,B/W,14.1385,0.8740
Saisoku_032,B/W,13.8579,0.8644
Saisoku_042,B/W,13.6249,0.8718
Saisoku_000_color_R,B/W,15.5346,0.8905
Saisoku_015,B/W,14.5394,0.8671
Saisoku_064,B/W,13.6974,0.8557
Saisoku_096,B/W,15.1894,0.8953
Saisoku_069,B/W,13.9268,0.8706
Saisoku_052,B/W,16.6680,0.9089
Saisoku_008,B/W,14.6180,0.9117
Saisoku_049,B/W,17.9633,0.9153
Saisoku_097,B/W,15.6883,0.8957
Saisoku_019,B/W,14.0096,0.8595
Saisoku_007,B/W,13.5947,0.8762
Saisoku_047,B/W,14.2760,0.8702
Saisoku_099_color_B,B/W,19.6737,0.9252
Saisoku_085,B/W,14.2516,0.8846
Saisoku_028,B/W,14.7119,0.8787
Saisoku_087,B/W,14.9589,0.8779
Saisoku_000_color_B,B/W,15.9081,0.8936
TsubasaNoKioku_027,B/W,14.0378,0.8842
TsubasaNoKioku_033,B/W,14.3887,0.8972
TsubasaNoKioku_078,B/W,14.6791,0.9032
TsubasaNoKioku_056,B/W,14.4392,0.8976
TsubasaNoKioku_086,B/W,14.5029,0.8974
TsubasaNoKioku_053,B/W,14.5746,0.8909
TsubasaNoKioku_010,B/W,14.8732,0.9103
TsubasaNoKioku_080,B/W,15.2243,0.9087
TsubasaNoKioku_083,B/W,13.7004,0.8845
TsubasaNoKioku_054,B/W,13.8249,0.8846
TsubasaNoKioku_005,B/W,13.9052,0.8875
TsubasaNoKioku_082,B/W,15.2920,0.9123
TsubasaNoKioku_009,B/W,14.0282,0.8953
TsubasaNoKioku_023,B/W,13.0927,0.8786
TsubasaNoKioku_041,B/W,14.6858,0.8927
TsubasaNoKioku_072,B/W,14.5584,0.9059
TsubasaNoKioku_084,B/W,14.6517,0.9071
